year,ibm_patents,samsung_patents,ibm_avg_citations,samsung_avg_citations
1990,2716,342,57.6,17.25
1991,3832,559,54.13,17.16
1992,4758,595,61.68,22.12
1993,4113,664,59.95,34.24
1994,5718,817,58.3,23.55
1995,8049,1216,51.02,24.53
1996,8104,2563,46.16,25.89
1997,10803,2590,54.07,24.03
1998,11402,3227,48.5,25.72
1999,13410,3108,43.79,26.26
2000,13053,3624,37.68,20.62
2001,12190,4123,25.97,18.38
2002,10894,5422,23.46,13.66
2003,12631,7965,19.24,12.09
2004,11677,10600,17.89,14.09
2005,12035,12693,14.07,12.36
2006,11728,15220,13.36,11.04
2007,17327,14880,12.92,10.67
2008,23866,13234,11.32,10.52
2009,11537,12110,10.1,8.51
2010,11326,13089,9.53,9.58
2011,11276,14317,9.81,9.14
2012,19069,14257,7.46,10.22
2013,14991,20039,6.2,11.18
2014,12915,20495,5.77,8.02
2015,19524,23225,5.19,8.29
2016,18071,20110,5.64,7.0
2017,16220,18982,3.68,6.22
2018,10721,17460,3.31,4.67
2019,8522,17648,2.58,4.17
2020,4347,15541,2.23,2.85
2021,1728,8646,1.79,3.0
2022,418,4044,1.89,2.25
