cpc_section,decade,patents
G,1900,4
C,1900,3
H,1900,3
A,1900,2
B,1900,2
D,1900,1
F,1900,1
A,1910,1
C,1910,1
B,1920,1
C,1920,1
D,1920,1
F,1920,1
G,1930,4
A,1930,2
B,1930,2
H,1930,2
H,1940,39
F,1940,16
G,1940,14
B,1940,12
A,1940,4
C,1940,4
E,1940,1
G,1950,88
F,1950,61
H,1950,52
B,1950,20
C,1950,19
G,1960,406
C,1960,368
F,1960,293
H,1960,254
B,1960,151
A,1960,59
D,1960,22
E,1960,6
B,1970,99964
C,1970,86909
G,1970,70262
A,1970,59054
H,1970,55498
F,1970,53860
E,1970,20825
D,1970,12672
B,1980,186771
G,1980,159752
C,1980,152220
H,1980,126768
A,1980,124101
F,1980,97930
E,1980,36214
D,1980,19650
G,1990,365468
H,1990,318733
B,1990,293986
A,1990,248994
C,1990,234186
F,1990,133097
E,1990,48870
D,1990,25737
G,2000,701982
H,2000,662483
B,2000,368762
A,2000,331962
C,2000,269840
F,2000,179212
E,2000,58272
D,2000,21663
Y,2000,1
G,2010,1141749
H,2010,1105190
B,2010,543125
A,2010,525775
C,2010,360333
F,2010,279703
E,2010,98185
D,2010,24524
Y,2010,1
G,2020,426939
H,2020,399241
B,2020,175533
A,2020,159108
F,2020,87272
C,2020,83597
E,2020,33623
D,2020,7071
