year,fossil_extraction_patents,solar_patents,wind_patents,total_renewable_patents,fossil_growth,solar_growth,wind_growth,renewable_growth
1995,914,38,26,64,,,,
1996,960,42,32,74,5.03,10.53,23.08,15.62
1997,1121,44,27,71,16.77,4.76,-15.62,-4.05
1998,1177,67,39,106,5.0,52.27,44.44,49.3
1999,1120,55,44,99,-4.84,-17.91,12.82,-6.6
2000,1315,52,68,120,17.41,-5.45,54.55,21.21
2001,1449,79,119,198,10.19,51.92,75.0,65.0
2002,1580,70,167,237,9.04,-11.39,40.34,19.7
2003,1425,47,154,201,-9.81,-32.86,-7.78,-15.19
2004,1457,50,187,237,2.25,6.38,21.43,17.91
2005,1356,58,219,277,-6.93,16.0,17.11,16.88
2006,1491,77,233,310,9.96,32.76,6.39,11.91
2007,1788,121,366,487,19.92,57.14,57.08,57.1
2008,1995,185,507,692,11.58,52.89,38.52,42.09
2009,2134,275,695,970,6.97,48.65,37.08,40.17
2010,2245,374,783,1157,5.2,36.0,12.66,19.28
2011,2598,423,759,1182,15.72,13.1,-3.07,2.16
2012,2961,432,751,1183,13.97,2.13,-1.05,0.08
2013,3551,444,689,1133,19.93,2.78,-8.26,-4.23
2014,3799,527,668,1195,6.98,18.69,-3.05,5.47
2015,3727,570,624,1194,-1.9,8.16,-6.59,-0.08
2016,3570,660,592,1252,-4.21,15.79,-5.13,4.86
2017,3247,636,728,1364,-9.05,-3.64,22.97,8.95
2018,3395,686,737,1423,4.56,7.86,1.24,4.33
2019,3456,639,682,1321,1.8,-6.85,-7.46,-7.17
2020,3513,605,684,1289,1.65,-5.32,0.29,-2.42
2021,3042,606,618,1224,-13.41,0.17,-9.65,-5.04
2022,2473,523,403,926,-18.7,-13.7,-34.79,-24.35
