year,jp_h01l,kr_h01l,total_h01l,jp_share_pct,kr_share_pct
1985,861,2,310,277.74,0.65
1986,1015,5,359,282.73,1.39
1987,1144,3,403,283.87,0.74
1988,1662,28,586,283.62,4.78
1989,1873,51,638,293.57,7.99
1990,2131,43,761,280.03,5.65
1991,2691,116,1005,267.76,11.54
1992,3010,146,1129,266.61,12.93
1993,2955,160,1055,280.09,15.17
1994,3439,226,1283,268.04,17.61
1995,4636,305,1578,293.79,19.33
1996,4548,643,1868,243.47,34.42
1997,5701,641,2248,253.6,28.51
1998,5830,782,2345,248.61,33.35
1999,5932,847,2412,245.94,35.12
2000,7416,904,2939,252.33,30.76
2001,8846,1200,3296,268.39,36.41
2002,8899,1519,3503,254.04,43.36
2003,8404,1766,3389,247.98,52.11
2004,7827,1981,3409,229.6,58.11
2005,7799,2016,3337,233.71,60.41
2006,7371,2393,3491,211.14,68.55
2007,7142,2377,3315,215.44,71.7
2008,7292,2397,3486,209.18,68.76
2009,6406,2347,3078,208.12,76.25
2010,7133,2536,3268,218.27,77.6
2011,7897,3193,3665,215.47,87.12
2012,7482,2977,3560,210.17,83.62
2013,8041,3655,3818,210.61,95.73
2014,8294,4361,4204,197.29,103.73
2015,9405,4547,4682,200.88,97.12
2016,9246,5167,4791,192.99,107.85
2017,10149,5314,5280,192.22,100.64
2018,9729,5658,5111,190.35,110.7
2019,9730,6877,5583,174.28,123.18
2020,8651,7615,5354,161.58,142.23
2021,6553,8002,4767,137.47,167.86
2022,4124,5167,2998,137.56,172.35
