year,commerce_patents,drone_patents,commerce_growth,drone_growth
2000,4448,9,,
2001,4900,11,10.16,22.22
2002,4393,32,-10.35,190.91
2003,4276,31,-2.66,-3.12
2004,4899,40,14.57,29.03
2005,5468,25,11.61,-37.5
2006,6742,31,23.3,24.0
2007,7811,33,15.86,6.45
2008,7517,45,-3.76,36.36
2009,6730,62,-10.47,37.78
2010,7551,49,12.2,-20.97
2011,8734,49,15.67,0.0
2012,10557,101,20.87,106.12
2013,10079,135,-4.53,33.66
2014,10929,219,8.43,62.22
2015,11208,410,2.55,87.21
2016,11876,678,5.96,65.37
2017,12654,807,6.55,19.03
2018,13199,797,4.31,-1.24
2019,15576,729,18.01,-8.53
2020,14780,767,-5.11,5.21
2021,12777,598,-13.55,-22.03
2022,10073,500,-21.16,-16.39
