year,traditional_banking_patents,digital_finance_patents,banking_growth,digital_growth
1995,973,2906,,
1996,1298,3820,33.4,31.45
1997,1694,5250,30.51,37.43
1998,2012,6302,18.77,20.04
1999,2828,7688,40.56,21.99
2000,4448,9499,57.28,23.56
2001,4900,10696,10.16,12.6
2002,4393,10918,-10.35,2.08
2003,4276,10900,-2.66,-0.16
2004,4899,11906,14.57,9.23
2005,5468,12972,11.61,8.95
2006,6742,14218,23.3,9.61
2007,7811,15486,15.86,8.92
2008,7517,16009,-3.76,3.38
2009,6730,15114,-10.47,-5.59
2010,7551,16063,12.2,6.28
2011,8734,18466,15.67,14.96
2012,10557,22804,20.87,23.49
2013,10079,26155,-4.53,14.69
2014,10929,29160,8.43,11.49
2015,11208,31712,2.55,8.75
2016,11876,33526,5.96,5.72
2017,12654,33224,6.55,-0.9
2018,13199,33765,4.31,1.63
2019,15576,37397,18.01,10.76
2020,14780,35181,-5.11,-5.93
2021,12777,31391,-13.55,-10.77
2022,10073,23887,-21.16,-23.9
