year,chemical_pharma_patents,genomics_patents,pharma_growth,genomics_growth
1990,2237,780,,
1991,2274,889,1.65,13.97
1992,2738,1125,20.4,26.55
1993,3198,1409,16.8,25.24
1994,4186,2288,30.89,62.38
1995,6722,3932,60.58,71.85
1996,4229,2052,-37.09,-47.81
1997,5464,2823,29.2,37.57
1998,5287,2849,-3.24,0.92
1999,6110,3307,15.57,16.08
2000,6809,3390,11.44,2.51
2001,6991,3405,2.67,0.44
2002,6768,3066,-3.19,-9.96
2003,5635,2528,-16.74,-17.55
2004,5279,2456,-6.32,-2.85
2005,5074,2272,-3.88,-7.49
2006,5601,2539,10.39,11.75
2007,5802,2868,3.59,12.96
2008,5879,2734,1.33,-4.67
2009,6548,2940,11.38,7.53
2010,7534,3337,15.06,13.5
2011,8244,3638,9.42,9.02
2012,9705,3883,17.72,6.73
2013,11024,4656,13.59,19.91
2014,11613,5044,5.34,8.33
2015,12385,5288,6.65,4.84
2016,13542,5861,9.34,10.84
2017,13849,6157,2.27,5.05
2018,13997,6293,1.07,2.21
2019,12493,5699,-10.75,-9.44
2020,10055,4495,-19.51,-21.13
2021,7610,3434,-24.32,-23.6
2022,5293,2314,-30.45,-32.62
