country,inventor_name,patents
JP,Shunpei Yamazaki,6749
AU,Kia Silverbrook,4772
US,Tao Luo,4274
CN,Shou-Shan Fan,2621
TW,Chen-Hua Yu,1958
KR,Hanbyul Seo,1833
IN,Sarbajit K. Rakshit,1466
SG,Lei Wang,979
Unknown,Ken-Ching Chen,815
FR,Jean-Philippe Vasseur,747
CA,Jianglei Ma,727
IL,Assaf Govari,655
GB,Gert Jan Van Lieshout,654
SE,Muhammad Kazmi,648
DK,Mogens Nyegaard Olesen,624
DE,Hans-Joachim Schulze,612
BE,Atsushi Nakamura,556
SA,Omer Refa Koseoglu,474
RU,Alexei Davydov,470
IT,Pasquale Natuzzi,436
