year,semiconductor_patents,computing_patents,semi_growth,comp_growth
1976,578,571,,
1977,568,602,-1.73,5.43
1978,636,579,11.97,-3.82
1979,579,623,-8.959999999999999,7.6
1980,687,754,18.65,21.029999999999998
1981,696,855,1.31,13.4
1982,773,939,11.06,9.82
1983,821,1042,6.21,10.97
1984,1007,1049,22.66,0.67
1985,1040,1206,3.2800000000000002,14.97
1986,1216,1330,16.919999999999998,10.280000000000001
1987,1283,1595,5.510000000000001,19.919999999999998
1988,1612,1842,25.64,15.49
1989,1729,2228,7.26,20.96
1990,1989,2568,15.040000000000001,15.260000000000002
1991,2371,2846,19.21,10.83
1992,2644,3521,11.51,23.72
1993,2639,4122,-0.19,17.07
1994,3100,5531,17.47,34.18
1995,4081,7905,31.65,42.92
1996,4889,9120,19.8,15.370000000000001
1997,6398,11339,30.869999999999997,24.33
1998,7110,11711,11.129999999999999,3.2800000000000002
1999,7898,12662,11.08,8.12
2000,8584,14231,8.690000000000001,12.389999999999999
2001,9323,15173,8.61,6.619999999999999
2002,9824,15153,5.37,-0.13
2003,9148,16215,-6.88,7.01
2004,8766,18458,-4.18,13.83
2005,8335,19407,-4.92,5.140000000000001
2006,8419,20772,1.01,7.03
2007,8165,22912,-3.02,10.299999999999999
2008,7973,25293,-2.35,10.39
2009,7173,22494,-10.03,-11.07
2010,8001,25784,11.540000000000001,14.63
2011,9179,30052,14.719999999999999,16.55
2012,9824,37611,7.03,25.15
2013,11108,41939,13.07,11.51
2014,11864,42998,6.81,2.53
2015,12874,46674,8.51,8.55
2016,13724,48426,6.6000000000000005,3.75
2017,14933,51118,8.81,5.56
2018,14844,53981,-0.6,5.6000000000000005
2019,15871,61136,6.92,13.25
2020,14916,56114,-6.02,-8.21
2021,13373,50166,-10.34,-10.6
2022,9136,39127,-31.680000000000003,-22.0
