year,transmission_patents,wireless_patents
1990,917,241
1991,1047,320
1992,1295,343
1993,1485,482
1994,2045,776
1995,2906,1135
1996,3820,1512
1997,5250,1854
1998,6302,1999
1999,7688,2453
2000,9499,2846
2001,10696,3205
2002,10918,3468
2003,10900,3535
2004,11906,4248
2005,12972,4677
2006,14218,5475
2007,15486,6367
2008,16009,6986
2009,15114,7682
2010,16063,8393
2011,18466,10597
2012,22804,13328
2013,26155,15847
2014,29160,17391
2015,31712,19392
2016,33526,20257
2017,33224,20728
2018,33765,21512
2019,37397,24581
2020,35181,24228
2021,31391,21183
2022,23887,14188
